GpsNumber,GpsDescription,GPSTime,SMSTime,Year,Month,Day,Hour,Minute,BatteryVoltage,GSMSignal,Activity,Temperature,lat,lon,Type,LandCover,DownDate,Direction_Abs,StepLength,Direction_Rel,Speed,Interval,Class
48536501395,coyo03,1/19/2022 20:05,1/20/2022 13:01,2022,1,19,20,5,4.12,28,197,26,34.263683,-118.632666,GSM,Herbaceous with Sparse Tree/Shrub,1/20/2022,107.1922362,24676.35234,0,6.273648901,,3
48536501395,coyo03,1/20/2022 0:01,1/20/2022 13:01,2022,1,20,0,1,4.12,28,0.013912429,17,34.186033,-118.883633,GSM,Urban,1/20/2022,82.18734455,27174.30267,-25.00489169,4.535349541,14160,9
48536501395,coyo03,1/20/2022 6:00,1/20/2022 13:01,2022,1,20,6,0,4.12,28,0.009133055,21,34.225949,-119.174549,GSM,Urban,1/20/2022,-62.62588303,48.85861677,-144.8132276,0.008143103,21570,9
48536501395,coyo03,1/20/2022 12:00,1/20/2022 13:01,2022,1,20,12,0,4.12,28,0.00912037,7,34.226182,-119.174099,GSM,Urban,1/20/2022,-83.31314971,47288.32942,-20.68726668,0.463488637,21600,9
48536501395,coyo03,1/24/2022 18:02,1/25/2022 13:02,2022,1,24,18,2,4.13,23,0.002090951,20,34.285783,-118.665733,GSM,Tree Open,1/25/2022,169.3933017,29.97331932,-107.2935486,0.005011097,367297,3
48536501395,coyo03,1/25/2022 0:01,1/25/2022 13:02,2022,1,25,0,1,4.13,23,0.035666187,17,34.285516,-118.665783,GSM,Tree Open,1/25/2022,45.20299571,325.305341,-124.190306,0.054292964,21533,3
48536501395,coyo03,1/25/2022 6:00,1/25/2022 13:02,2022,1,25,6,0,4.13,23,0.035605007,11,34.287766,-118.668049,GSM,Shrub,1/25/2022,83.98822771,4802.869744,38.785232,0.798482085,21570,3
48536501395,coyo03,1/25/2022 12:01,1/25/2022 13:02,2022,1,25,12,1,4.13,23,0.035466888,8,34.293216,-118.7198,GSM,Urban,1/25/2022,73.55359194,4369.171127,-10.43463578,0.728161477,21654,3
48536501395,coyo03,1/25/2022 18:01,1/26/2022 13:02,2022,1,25,18,1,4.13,13,0.066709875,34,34.306416,-118.764516,GSM,Shrub,1/26/2022,-124.3543367,37.6860282,162.0920714,0.00629295,21601,3
48536501395,coyo03,1/26/2022 0:00,1/26/2022 13:02,2022,1,26,0,0,4.13,13,0.066839835,22,34.3062,-118.7642,GSM,Shrub,1/26/2022,177.8005944,2600.800318,-57.84506893,0.434089719,21559,7
48536501395,coyo03,1/26/2022 6:00,1/26/2022 13:02,2022,1,26,6,0,4.13,13,0.066808846,17,34.282766,-118.7651,GSM,Urban,1/26/2022,46.42580847,49.02105527,-131.3747859,0.008153567,21569,8
