CollarSerialNumber,Year,Julianday,Hour,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
36092,16,52,17,34.18075,-118.58807,0.9,8,41,3,2/21/2016
36092,16,53,5,34.18723,-118.58637,0.9,9,41,3,2/22/2016
36092,16,53,18,34.1812,-118.58801,1.2,6,41,3,2/22/2016
36092,16,54,6,34.18218,-118.58099,1.4,6,70,3,2/23/2016
36092,16,54,19,34.17956,-118.57834,1.1,8,41,3,2/23/2016
36092,16,55,7,34.18061,-118.58821,1.3,7,42,3,2/24/2016
36092,16,55,20,34.18325,-118.58325,0.9,8,41,3,2/24/2016
36092,16,56,21,34.18016,-118.57492,1.2,5,41,3,2/25/2016
36092,16,57,9,34.18058,-118.58834,1.2,7,41,3,2/26/2016
36092,16,57,22,34.18248,-118.58658,1.3,6,41,3,2/26/2016
36092,16,58,10,34.18065,-118.58803,1.7,5,41,3,2/27/2016
36092,16,58,23,34.18078,-118.58798,1.6,5,41,3,2/27/2016
36092,16,60,0,34.18352,-118.57878,1.9,5,58,3,2/29/2016
36092,16,61,1,34.18091,-118.57531,1.3,6,70,3,3/1/2016
36092,16,62,2,34.18236,-118.58483,1.2,6,41,3,3/2/2016
36092,16,62,14,34.18107,-118.58832,1.2,6,41,3,3/2/2016
36092,16,63,3,34.17482,-118.58557,1,8,41,3,3/3/2016
36092,16,64,4,34.18695,-118.58199,1.9,6,41,3,3/4/2016
36092,16,65,5,34.18193,-118.58078,0.8,8,87,3,3/5/2016
36092,16,65,18,34.18223,-118.58763,1.2,8,41,3,3/5/2016
36092,16,66,6,34.18645,-118.58759,1.4,6,41,3,3/6/2016
36092,16,66,19,34.18006,-118.57489,1.1,6,57,3,3/6/2016
36092,16,67,20,34.18336,-118.58389,0.8,9,41,3,3/7/2016
36092,16,68,8,34.18069,-118.58845,1.4,6,41,3,3/8/2016
36092,16,68,21,34.18323,-118.58839,1.2,6,41,3,3/8/2016
36092,16,69,9,34.18064,-118.5884,1.8,4,41,3,3/9/2016
36092,16,69,22,34.18069,-118.58805,1.2,7,41,3,3/9/2016
36092,16,70,23,34.17963,-118.57468,1.1,7,69,3,3/10/2016
36092,16,72,0,34.17967,-118.57466,1.3,6,99,3,3/12/2016
36092,16,72,12,34.18104,-118.58845,1.2,7,41,3,3/12/2016
36092,16,73,1,34.18753,-118.58035,0.8,9,63,3,3/13/2016
36092,16,73,13,34.17386,-118.58332,3.2,4,41,3,3/13/2016
36092,16,74,2,34.1828,-118.58326,0.8,10,41,3,3/14/2016
36092,16,75,3,34.182,-118.58301,0.9,10,41,3,3/15/2016
36092,16,76,4,34.18243,-118.58416,1.2,7,57,3,3/16/2016
36092,16,76,17,34.18096,-118.5885,2.1,4,64,3,3/16/2016
36092,16,77,5,34.18318,-118.58824,1.3,6,41,3,3/17/2016
36092,16,77,18,34.18017,-118.58518,1,8,42,3,3/17/2016
36092,16,79,20,34.18175,-118.58086,1.2,6,41,3,3/19/2016
36092,16,80,8,34.17975,-118.5866,1.8,5,41,3,3/20/2016
36092,16,80,21,34.1827,-118.58652,2,6,41,3,3/20/2016
36092,16,81,9,34.18074,-118.5882,1.1,7,62,3,3/21/2016
36092,16,81,22,34.18064,-118.58828,1,7,41,3,3/21/2016
36092,16,82,10,34.18103,-118.58841,0.9,8,41,3,3/22/2016
36092,16,82,23,34.1842,-118.58347,1.1,7,41,3,3/22/2016
36092,16,84,0,34.18046,-118.57783,1.1,7,42,3,3/24/2016
36092,16,85,1,34.17919,-118.57891,1,7,57,3,3/25/2016
36092,16,85,13,34.18096,-118.58793,1.6,5,42,3,3/25/2016
36092,16,86,2,34.18542,-118.58699,1.4,6,41,3,3/26/2016
36092,16,86,14,34.18105,-118.58831,1.1,7,41,3,3/26/2016
36092,16,87,3,34.18489,-118.58794,0.9,9,41,3,3/27/2016
36092,16,87,16,34.18076,-118.58801,0.9,9,41,3,3/27/2016
36092,16,88,17,34.18101,-118.58845,1.2,7,41,3,3/28/2016
36092,16,89,5,34.17935,-118.58709,1.7,7,41,3,3/29/2016
36092,16,89,18,34.18269,-118.58593,1.1,7,41,3,3/29/2016
36092,16,90,6,34.18093,-118.58843,1.1,7,41,3,3/30/2016
36092,16,90,19,34.18006,-118.58261,0.9,8,41,3,3/30/2016
36092,16,91,20,34.18265,-118.58658,1.6,6,99,3,3/31/2016
36092,16,92,8,34.18136,-118.58721,1.6,5,41,3,4/1/2016
36092,16,92,21,34.18582,-118.58515,0.9,8,41,3,4/1/2016
36092,16,93,22,34.1822,-118.5862,2.1,4,41,3,4/2/2016
36092,16,94,10,34.18756,-118.58527,1.1,7,41,3,4/3/2016
36092,16,94,23,34.18,-118.57659,1.5,6,41,3,4/3/2016
36092,16,96,0,34.17403,-118.57954,1.9,6,64,3,4/5/2016
36092,16,96,12,34.18099,-118.58843,1.4,6,41,3,4/5/2016
36092,16,97,1,34.18593,-118.58126,1.4,6,41,3,4/6/2016
36092,16,98,2,34.18393,-118.57657,2.9,5,93,3,4/7/2016
36092,16,99,3,34.18214,-118.58348,0.8,10,41,3,4/8/2016
36092,16,99,15,34.18069,-118.58648,0.9,8,41,3,4/8/2016
36092,16,99,16,34.18063,-118.58652,1,8,42,3,4/8/2016
36092,16,100,4,34.18164,-118.58385,1.1,8,41,3,4/9/2016
36092,16,100,17,34.18082,-118.57573,1.1,7,41,3,4/9/2016
36092,16,101,5,34.17925,-118.58111,1.1,6,70,3,4/10/2016
36092,16,103,7,34.18309,-118.58751,0.9,9,41,3,4/12/2016
36092,16,104,8,34.18062,-118.58503,1.1,8,41,3,4/13/2016
36092,16,104,21,34.18217,-118.58359,0.8,9,42,3,4/13/2016
36092,16,105,22,34.17961,-118.58456,1.1,7,41,3,4/14/2016
36092,16,106,10,34.18076,-118.58596,0.9,8,41,3,4/15/2016
36092,16,106,23,34.18756,-118.58181,0.8,9,41,3,4/15/2016
36092,16,107,11,34.18072,-118.58599,1.8,6,41,3,4/16/2016
36092,16,108,0,34.17966,-118.57932,0.7,11,41,3,4/17/2016
36092,16,108,12,34.18033,-118.58624,2.8,4,41,3,4/17/2016
36092,16,109,1,34.18294,-118.5838,0.9,10,41,3,4/18/2016
36092,16,110,2,34.18132,-118.58448,0.8,10,42,3,4/19/2016
36092,16,110,14,34.18318,-118.58839,1.1,6,41,3,4/19/2016
36092,16,111,3,34.18207,-118.58246,2.3,4,41,3,4/20/2016
36092,16,112,17,34.18574,-118.58779,1.5,6,41,3,4/21/2016
36092,16,113,5,34.18421,-118.58219,1.7,4,41,3,4/22/2016
36092,16,113,18,34.18016,-118.5858,1.2,6,41,3,4/22/2016
36092,16,114,6,34.18013,-118.58658,1.9,6,42,3,4/23/2016
36092,16,114,19,34.18053,-118.57912,0.8,9,41,3,4/23/2016
36092,16,115,7,34.18067,-118.58654,1,8,41,3,4/24/2016
36092,16,115,20,34.18402,-118.58213,0.9,8,41,3,4/24/2016
36092,16,116,8,34.18297,-118.58847,1.4,6,41,3,4/25/2016
36092,16,116,21,34.18357,-118.5858,1.1,8,42,3,4/25/2016
36092,16,117,22,34.18409,-118.58393,1.1,8,41,3,4/26/2016
36092,16,121,1,34.18227,-118.57352,0.9,8,63,3,4/30/2016
36092,16,121,13,34.18554,-118.58767,1,7,41,3,4/30/2016
36092,16,122,2,34.18647,-118.58142,1.5,4,42,3,5/1/2016
36092,16,122,14,34.18561,-118.58786,1.6,5,41,3,5/1/2016
36092,16,123,15,34.18561,-118.58759,1.3,6,42,3,5/2/2016
36092,16,124,4,34.18382,-118.582,1.4,7,93,3,5/3/2016
36092,16,125,18,34.1874,-118.58374,1.6,6,64,3,5/4/2016
36092,16,127,20,34.18719,-118.58361,1.3,6,41,3,5/6/2016
36092,16,129,22,34.18568,-118.58328,1.3,6,41,3,5/8/2016
36092,16,130,23,34.18696,-118.58359,1.6,5,99,3,5/9/2016
36092,16,132,0,34.18407,-118.58061,8.8,4,41,3,5/11/2016
36092,16,133,13,34.18692,-118.58198,1.5,6,41,3,5/12/2016
36092,16,134,2,34.18762,-118.58061,1.1,7,66,3,5/13/2016
36092,16,134,14,34.18398,-118.5858,0.8,10,42,3,5/13/2016
36092,16,135,3,34.18334,-118.58759,0.8,10,41,3,5/14/2016
36092,16,135,15,34.1835,-118.58647,1.7,5,41,3,5/14/2016
36092,16,135,16,34.18347,-118.58648,0.9,9,41,3,5/14/2016
36092,16,136,4,34.18473,-118.58778,0.9,10,41,3,5/15/2016
36092,16,136,17,34.18343,-118.58653,1.2,7,42,3,5/15/2016
36092,16,137,5,34.18424,-118.584,0.8,11,42,3,5/16/2016
