CollarSerialNumber,Year,Julianday,Hour,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
036092,16,049,13,+34.18049,-118.58824,01.3,06,041,3,2016-02-18
036092,16,050,02,+34.18716,-118.57899,01.1,07,041,3,2016-02-19
036092,16,052,04,+34.18170,-118.57714,00.8,09,041,3,2016-02-21
036092,16,052,17,+34.18075,-118.58807,00.9,08,041,3,2016-02-21
036092,16,053,05,+34.18723,-118.58637,00.9,09,041,3,2016-02-22
036092,16,053,18,+34.18120,-118.58801,01.2,06,041,3,2016-02-22
036092,16,054,06,+34.18218,-118.58099,01.4,06,070,3,2016-02-23
036092,16,054,19,+34.17956,-118.57834,01.1,08,041,3,2016-02-23
036092,16,055,07,+34.18061,-118.58821,01.3,07,042,3,2016-02-24
036092,16,055,20,+34.18325,-118.58325,00.9,08,041,3,2016-02-24
036092,16,056,21,+34.18016,-118.57492,01.2,05,041,3,2016-02-25
036092,16,057,09,+34.18058,-118.58834,01.2,07,041,3,2016-02-26
036092,16,057,22,+34.18248,-118.58658,01.3,06,041,3,2016-02-26
036092,16,058,10,+34.18065,-118.58803,01.7,05,041,3,2016-02-27
036092,16,058,23,+34.18078,-118.58798,01.6,05,041,3,2016-02-27
036092,16,060,00,+34.18352,-118.57878,01.9,05,058,3,2016-02-29
036092,16,061,01,+34.18091,-118.57531,01.3,06,070,3,2016-03-01
036092,16,062,02,+34.18236,-118.58483,01.2,06,041,3,2016-03-02
036092,16,062,14,+34.18107,-118.58832,01.2,06,041,3,2016-03-02
036092,16,063,03,+34.17482,-118.58557,01.0,08,041,3,2016-03-03
036092,16,064,04,+34.18695,-118.58199,01.9,06,041,3,2016-03-04
036092,16,065,05,+34.18193,-118.58078,00.8,08,087,3,2016-03-05
036092,16,065,18,+34.18223,-118.58763,01.2,08,041,3,2016-03-05
036092,16,066,06,+34.18645,-118.58759,01.4,06,041,3,2016-03-06
036092,16,066,19,+34.18006,-118.57489,01.1,06,057,3,2016-03-06
036092,16,067,20,+34.18336,-118.58389,00.8,09,041,3,2016-03-07
036092,16,068,08,+34.18069,-118.58845,01.4,06,041,3,2016-03-08
036092,16,068,21,+34.18323,-118.58839,01.2,06,041,3,2016-03-08
036092,16,069,09,+34.18064,-118.58840,01.8,04,041,3,2016-03-09
036092,16,069,22,+34.18069,-118.58805,01.2,07,041,3,2016-03-09
036092,16,070,23,+34.17963,-118.57468,01.1,07,069,3,2016-03-10
036092,16,072,00,+34.17967,-118.57466,01.3,06,099,3,2016-03-12
036092,16,072,12,+34.18104,-118.58845,01.2,07,041,3,2016-03-12
036092,16,073,01,+34.18753,-118.58035,00.8,09,063,3,2016-03-13
036092,16,073,13,+34.17386,-118.58332,03.2,04,041,3,2016-03-13
036092,16,074,02,+34.18280,-118.58326,00.8,10,041,3,2016-03-14
036092,16,075,03,+34.18200,-118.58301,00.9,10,041,3,2016-03-15
036092,16,076,04,+34.18243,-118.58416,01.2,07,057,3,2016-03-16
036092,16,076,17,+34.18096,-118.58850,02.1,04,064,3,2016-03-16
036092,16,077,05,+34.18318,-118.58824,01.3,06,041,3,2016-03-17
036092,16,077,18,+34.18017,-118.58518,01.0,08,042,3,2016-03-17
036092,16,079,20,+34.18175,-118.58086,01.2,06,041,3,2016-03-19
036092,16,080,08,+34.17975,-118.58660,01.8,05,041,3,2016-03-20
036092,16,080,21,+34.18270,-118.58652,02.0,06,041,3,2016-03-20
036092,16,081,09,+34.18074,-118.58820,01.1,07,062,3,2016-03-21
036092,16,081,22,+34.18064,-118.58828,01.0,07,041,3,2016-03-21
036092,16,082,10,+34.18103,-118.58841,00.9,08,041,3,2016-03-22
036092,16,082,23,+34.18420,-118.58347,01.1,07,041,3,2016-03-22
036092,16,084,00,+34.18046,-118.57783,01.1,07,042,3,2016-03-24
036092,16,085,01,+34.17919,-118.57891,01.0,07,057,3,2016-03-25
036092,16,085,13,+34.18096,-118.58793,01.6,05,042,3,2016-03-25
036092,16,086,02,+34.18542,-118.58699,01.4,06,041,3,2016-03-26
036092,16,086,14,+34.18105,-118.58831,01.1,07,041,3,2016-03-26
036092,16,087,03,+34.18489,-118.58794,00.9,09,041,3,2016-03-27
036092,16,087,16,+34.18076,-118.58801,00.9,09,041,3,2016-03-27
036092,16,088,17,+34.18101,-118.58845,01.2,07,041,3,2016-03-28
036092,16,089,05,+34.17935,-118.58709,01.7,07,041,3,2016-03-29
036092,16,089,18,+34.18269,-118.58593,01.1,07,041,3,2016-03-29
036092,16,090,06,+34.18093,-118.58843,01.1,07,041,3,2016-03-30
036092,16,090,19,+34.18006,-118.58261,00.9,08,041,3,2016-03-30
036092,16,091,20,+34.18265,-118.58658,01.6,06,099,3,2016-03-31
036092,16,092,08,+34.18136,-118.58721,01.6,05,041,3,2016-04-01
036092,16,092,21,+34.18582,-118.58515,00.9,08,041,3,2016-04-01
036092,16,093,22,+34.18220,-118.58620,02.1,04,041,3,2016-04-02
036092,16,094,10,+34.18756,-118.58527,01.1,07,041,3,2016-04-03
036092,16,094,23,+34.18000,-118.57659,01.5,06,041,3,2016-04-03
036092,16,096,00,+34.17403,-118.57954,01.9,06,064,3,2016-04-05
036092,16,096,12,+34.18099,-118.58843,01.4,06,041,3,2016-04-05
036092,16,097,01,+34.18593,-118.58126,01.4,06,041,3,2016-04-06
036092,16,098,02,+34.18393,-118.57657,02.9,05,093,3,2016-04-07
036092,16,099,03,+34.18214,-118.58348,00.8,10,041,3,2016-04-08
036092,16,099,15,+34.18069,-118.58648,00.9,08,041,3,2016-04-08
036092,16,099,16,+34.18063,-118.58652,01.0,08,042,3,2016-04-08
036092,16,100,04,+34.18164,-118.58385,01.1,08,041,3,2016-04-09
036092,16,100,17,+34.18082,-118.57573,01.1,07,041,3,2016-04-09
036092,16,101,05,+34.17925,-118.58111,01.1,06,070,3,2016-04-10
036092,16,103,07,+34.18309,-118.58751,00.9,09,041,3,2016-04-12
036092,16,104,08,+34.18062,-118.58503,01.1,08,041,3,2016-04-13
036092,16,104,21,+34.18217,-118.58359,00.8,09,042,3,2016-04-13
036092,16,105,22,+34.17961,-118.58456,01.1,07,041,3,2016-04-14
036092,16,106,10,+34.18076,-118.58596,00.9,08,041,3,2016-04-15
036092,16,106,23,+34.18756,-118.58181,00.8,09,041,3,2016-04-15
036092,16,107,11,+34.18072,-118.58599,01.8,06,041,3,2016-04-16
036092,16,108,00,+34.17966,-118.57932,00.7,11,041,3,2016-04-17
036092,16,108,12,+34.18033,-118.58624,02.8,04,041,3,2016-04-17
036092,16,109,01,+34.18294,-118.58380,00.9,10,041,3,2016-04-18
036092,16,110,02,+34.18132,-118.58448,00.8,10,042,3,2016-04-19
036092,16,110,14,+34.18318,-118.58839,01.1,06,041,3,2016-04-19
036092,16,111,03,+34.18207,-118.58246,02.3,04,041,3,2016-04-20
036092,16,112,17,+34.18574,-118.58779,01.5,06,041,3,2016-04-21
036092,16,113,05,+34.18421,-118.58219,01.7,04,041,3,2016-04-22
036092,16,113,18,+34.18016,-118.58580,01.2,06,041,3,2016-04-22
036092,16,114,06,+34.18013,-118.58658,01.9,06,042,3,2016-04-23
036092,16,114,19,+34.18053,-118.57912,00.8,09,041,3,2016-04-23
036092,16,115,07,+34.18067,-118.58654,01.0,08,041,3,2016-04-24
036092,16,115,20,+34.18402,-118.58213,00.9,08,041,3,2016-04-24
036092,16,116,08,+34.18297,-118.58847,01.4,06,041,3,2016-04-25
036092,16,116,21,+34.18357,-118.58580,01.1,08,042,3,2016-04-25
036092,16,117,22,+34.18409,-118.58393,01.1,08,041,3,2016-04-26
036092,16,121,01,+34.18227,-118.57352,00.9,08,063,3,2016-04-30
